query_id,student_id,question_text,question_hash,difficulty,solution_id,was_cache_hit,asked_at
1,13,Describe the relationship between Graph Algorithms and related concepts.,3524d4ea36ed033942628b73a5da2747e033d2fe9e15ab3cb71802aaf4320810,advanced,57,f,2026-01-29 03:59:10+05:30
2,18,Give an example that demonstrates Newton's Laws.,fa1a56e198defc8fd5026ca52e729f1cbe703a19d173a9fe0be94e27adaf92dc,advanced,85,f,2026-03-26 02:09:24+05:30
3,6,Describe the relationship between Dynamic Programming and related concepts.,f9a5e1c31a1dc7e2bcf4ad1ac7e475e7b4f45598e33cc57e1fc9f339b2c344bd,foundational,63,f,2026-04-08 14:12:39+05:30
4,13,Describe the relationship between Dynamic Programming and related concepts.,f9a5e1c31a1dc7e2bcf4ad1ac7e475e7b4f45598e33cc57e1fc9f339b2c344bd,foundational,63,f,2026-04-16 15:51:45+05:30
5,16,Give an example that demonstrates Newton's Laws.,fa1a56e198defc8fd5026ca52e729f1cbe703a19d173a9fe0be94e27adaf92dc,advanced,85,f,2026-04-07 00:08:48+05:30
6,16,Give an example that demonstrates Query Optimization.,291a9bec1c4091b9d46d204a4cda5d4faec8d38b7443d09c9e11fe22148f0ded,intermediate,61,f,2026-01-11 16:18:08+05:30
7,2,Describe the relationship between Network Security and related concepts.,120612cd2a4bc5328c2794e25b808461e3fdca2a9d6d2be4b2af6e971b8c66f4,foundational,51,t,2026-04-17 18:19:30+05:30
8,13,Describe the relationship between Gradient Descent and related concepts.,a41f02b20d0837989b9db35794c07badbd608c52d9ffae761dfe0efedbcbab96,foundational,79,f,2026-04-22 13:46:43+05:30
9,10,What are common mistakes when implementing Graph Algorithms?,b2d294da96f0e3bbabd5e7f5b8931fc8f1b02e5a6382e3b4fab7212438971c48,intermediate,42,t,2026-03-16 06:56:04+05:30
10,5,What is the mathematical foundation of Electromagnetic Waves?,09f920d503077b0aea8af322ea657f3812993ab30e83183acd6c50bb588a0df9,advanced,47,t,2026-04-22 12:24:58+05:30
11,1,How is Gradient Descent applied in real-world systems?,227417da32fb2498821029991f3cb13526edefedce7beab724d23d48d4964aca,intermediate,98,f,2026-03-20 20:34:32+05:30
12,4,Explain the key concepts of Neural Networks.,831c32a486828b4eccc7d62ce07c055585f2f231851f6e7eb1593bd240a7a829,advanced,55,t,2026-01-24 16:42:22+05:30
13,12,Explain the key concepts of Maxwell's Equations.,3c13691aa7dc1a4c62a5b633b27da84dabd468ba9ee2ae4bcccb756810cba18d,intermediate,8,f,2025-12-19 09:47:58+05:30
14,10,What is the time complexity of Bayesian Inference?,751f3daee2d42d5d34ba6d361c65f94ad26f93ef81e8f6505cf82c90599a7b00,foundational,76,t,2026-03-16 07:35:30+05:30
15,10,What are the advantages and disadvantages of Eigenvalues?,d1614b9022fa36dbb37da48615f5aa4111e4bc792982381ca5693eb588abe127,advanced,15,t,2026-01-05 06:09:54+05:30
16,11,How does Indexing Strategies work in practice?,c4c24e01a56e0975dfaf62e72f3a6c0b6786c342f4df40db8a4c8ea910765cd9,advanced,5,f,2026-04-23 23:05:52+05:30
17,19,How is Newton's Laws applied in real-world systems?,72ee05f74016d303731e4856c792b9c66efa775c4671809b380dffe5ae855965,intermediate,66,f,2025-12-31 23:46:32+05:30
18,16,What is the time complexity of Bayesian Inference?,751f3daee2d42d5d34ba6d361c65f94ad26f93ef81e8f6505cf82c90599a7b00,foundational,76,t,2026-01-21 20:14:11+05:30
19,19,What is the time complexity of Graph Algorithms?,72373357bdf964912187c67a768d462680a428f2087c41e1accbb127f9c64dd4,intermediate,50,t,2025-12-16 08:48:10+05:30
20,16,Explain the key concepts of Hypothesis Testing.,6ffd36670b06f57bae16880ae70fb1a9d8c742735fa5e526d6642bd8c3a192a9,advanced,13,f,2026-04-27 10:26:40+05:30
21,16,How does Memory Management work in practice?,8ce474d8baf9847b1cf695d451ed3eae2ca79c59f41b8f81ad177797f355e722,foundational,65,f,2026-03-17 22:14:43+05:30
22,6,Describe the relationship between Gradient Descent and related concepts.,a41f02b20d0837989b9db35794c07badbd608c52d9ffae761dfe0efedbcbab96,foundational,79,t,2026-04-29 05:26:53+05:30
23,7,Compare and contrast different approaches to Bayesian Inference.,b4e4ead91b8decca3b78daf40b74854afa7fa8e47e8d8ea2502cb3fad4834821,intermediate,64,f,2026-04-28 01:03:17+05:30
24,3,Explain the key concepts of Graph Algorithms.,4d25e881b3cfeb7096ee241e0bedd7c78f7f371900a679d8f5c21852f831f2a3,foundational,69,t,2026-02-02 10:40:22+05:30
25,10,What are the advantages and disadvantages of Hash Tables?,af88dc68a6b56754b9c55b8ce8a7b8070eb993252c7febde3c47276c9433eff2,foundational,74,f,2026-02-20 23:07:45+05:30
26,3,How is TCP/IP Protocol applied in real-world systems?,0bc6ba5030e6ba068cb4a8919323b4579b4d113f9232ff7abe37ff7f0619deec,intermediate,92,f,2026-04-20 19:31:04+05:30
27,11,How does Newton's Laws work in practice?,b18b60b86bb768915e6101dd50f690014c5b2508bc3ea1d96adf048729b6fd7b,intermediate,35,t,2026-03-25 08:57:46+05:30
28,16,Explain the key concepts of Neural Networks.,831c32a486828b4eccc7d62ce07c055585f2f231851f6e7eb1593bd240a7a829,advanced,55,t,2026-03-30 20:25:29+05:30
29,10,How does Memory Management work in practice?,8ce474d8baf9847b1cf695d451ed3eae2ca79c59f41b8f81ad177797f355e722,foundational,65,f,2026-02-15 09:37:00+05:30
30,18,What are the advantages and disadvantages of Matrix Decomposition?,bb4a765d0f516a21e984b7ee185f019b099a922b050a7cb1e3ab2494d9e977f4,advanced,41,t,2026-02-02 03:27:33+05:30
31,20,How is Newton's Laws applied in real-world systems?,72ee05f74016d303731e4856c792b9c66efa775c4671809b380dffe5ae855965,intermediate,66,f,2026-03-22 18:25:42+05:30
32,6,What is the time complexity of Newton's Laws?,123672ccab9616c2fa8426563cdee66df964c03bf7705bde12b96b804af4fcde,advanced,3,f,2026-02-13 05:25:24+05:30
33,6,What are the advantages and disadvantages of Hash Tables?,af88dc68a6b56754b9c55b8ce8a7b8070eb993252c7febde3c47276c9433eff2,foundational,74,f,2026-03-31 07:36:52+05:30
34,15,How does Newton's Laws work in practice?,b18b60b86bb768915e6101dd50f690014c5b2508bc3ea1d96adf048729b6fd7b,intermediate,35,f,2026-02-04 22:56:52+05:30
35,20,What are common mistakes when implementing Neural Networks?,9f0f3e3a6676d190d2f348dc89963e4c5f2bc2ff537c10d562788a907f65c9f2,intermediate,99,f,2026-04-24 20:34:13+05:30
36,2,What are common mistakes when implementing Sorting Algorithms?,b1661c1a9d0289fe4055352fba2f40c222e56a91ffeb8fa11a9ccbb4c10916e7,foundational,67,t,2026-03-23 13:15:32+05:30
37,8,How does Electromagnetic Waves work in practice?,06004edc4548972c418789a48553e6a9c9047b912bb8dae4b19a1bc3b5014995,intermediate,20,f,2026-03-25 18:04:47+05:30
38,14,How is Indexing Strategies applied in real-world systems?,d671dd718e94ec343a4c252f418da699aedeedb51d0595479f6b93cb854567d9,advanced,53,t,2026-03-31 07:14:15+05:30
39,3,How is SQL Joins applied in real-world systems?,cb4956efbd881b3052bbb76c80b8d904c03754bce8fffb8d507d70a58348a10b,advanced,82,t,2026-04-12 13:56:18+05:30
40,10,What is the mathematical foundation of Virtual Memory?,6ef963b3adc449d157ef5bf81882649b1372f5549b840c41862d5cbb20faf361,foundational,83,t,2026-03-10 21:45:43+05:30
41,8,What are common mistakes when implementing Indexing Strategies?,6f06fc7aa3bfddf631f92bd25c3537771b32da4d969204f9ba5af6d92d5dcb42,intermediate,52,t,2026-04-04 16:08:42+05:30
42,1,What are common mistakes when implementing Database Normalization?,2547e099d93239f6b4c0c248e9981f130fb64bc8452a62f57044153309b01ed8,advanced,32,f,2026-02-03 21:40:12+05:30
43,16,What are the advantages and disadvantages of Dynamic Programming?,b4f3b49252702434f85c455b70069c48994bc0586e8ec677ace51c0d64c76ff4,foundational,72,f,2026-02-08 05:53:18+05:30
44,2,Give an example that demonstrates Vector Spaces.,b4b3e1a2ce352707ebdc2898f96d5c9c6387f36be1013f0a897a43f574c75073,intermediate,26,t,2026-01-11 08:16:54+05:30
45,9,What are common mistakes when implementing Confidence Intervals?,d21c2904d0aadb8b90cd21eba6f534324e040bc9f7d1c8fbf1839472d31792e5,advanced,36,f,2026-03-17 04:41:06+05:30
46,2,How is Memory Management applied in real-world systems?,02471df5b4c9ef7713589dd2d99de4f4b49a8010b892c56ec8b443b9129fb82a,advanced,93,f,2026-02-02 10:23:55+05:30
47,3,What are the advantages and disadvantages of Matrix Decomposition?,bb4a765d0f516a21e984b7ee185f019b099a922b050a7cb1e3ab2494d9e977f4,advanced,41,f,2026-04-10 21:01:29+05:30
48,14,What is the mathematical foundation of Electromagnetic Waves?,09f920d503077b0aea8af322ea657f3812993ab30e83183acd6c50bb588a0df9,advanced,47,f,2026-04-26 19:29:57+05:30
49,13,How is Memory Management applied in real-world systems?,02471df5b4c9ef7713589dd2d99de4f4b49a8010b892c56ec8b443b9129fb82a,advanced,93,f,2026-02-21 13:46:11+05:30
50,19,How does Transaction Isolation work in practice?,3f66bda634a7810f24a618a2c6eaa97f0b020ea07faa4b7e9f30ca22efd42bd8,foundational,95,f,2025-11-30 08:49:33+05:30
51,19,What is the time complexity of Newton's Laws?,123672ccab9616c2fa8426563cdee66df964c03bf7705bde12b96b804af4fcde,intermediate,100,f,2026-02-14 16:03:02+05:30
52,3,Describe the relationship between Process Scheduling and related concepts.,dd46f975e107e8f19aa4c5d8f06bd3170ecc5f399fe79f798246dbf1692c8514,foundational,31,f,2026-04-04 07:47:00+05:30
53,11,Give an example that demonstrates Neural Networks.,c250335cf6616d655c29e756d640aec66985f887dac1fea6cf3b56676162f777,advanced,43,f,2026-03-30 19:24:07+05:30
54,8,Explain the key concepts of Neural Networks.,831c32a486828b4eccc7d62ce07c055585f2f231851f6e7eb1593bd240a7a829,advanced,55,t,2025-12-18 10:47:05+05:30
55,7,What are common mistakes when implementing Confidence Intervals?,d21c2904d0aadb8b90cd21eba6f534324e040bc9f7d1c8fbf1839472d31792e5,advanced,36,f,2026-03-21 09:07:58+05:30
56,19,Explain the key concepts of Maxwell's Equations.,3c13691aa7dc1a4c62a5b633b27da84dabd468ba9ee2ae4bcccb756810cba18d,intermediate,8,f,2026-01-10 16:12:12+05:30
57,4,What are the advantages and disadvantages of Matrix Decomposition?,bb4a765d0f516a21e984b7ee185f019b099a922b050a7cb1e3ab2494d9e977f4,advanced,41,f,2026-02-12 17:09:50+05:30
58,8,What are common mistakes when implementing Confidence Intervals?,d21c2904d0aadb8b90cd21eba6f534324e040bc9f7d1c8fbf1839472d31792e5,advanced,36,f,2026-04-26 20:39:56+05:30
59,12,Give an example that demonstrates Query Optimization.,291a9bec1c4091b9d46d204a4cda5d4faec8d38b7443d09c9e11fe22148f0ded,intermediate,61,f,2026-04-07 05:54:01+05:30
60,1,What is the mathematical foundation of Virtual Memory?,6ef963b3adc449d157ef5bf81882649b1372f5549b840c41862d5cbb20faf361,foundational,83,f,2026-02-25 21:12:23+05:30
61,2,What is the mathematical foundation of Dynamic Programming?,19e6d65c0042dd75a824e7cb6afbc9f2606b8dfce4f32e2f5762e141b16c625d,intermediate,89,f,2026-03-10 06:27:49+05:30
62,9,How does Process Scheduling work in practice?,9668f09d77db53de4da71d2415e865b96c7c6b7b752d7ca14c14fb86cf4f4546,advanced,71,f,2026-04-13 11:37:36+05:30
63,12,What is the mathematical foundation of Indexing Strategies?,e226649c1e30202dafa57546119dff57361ec2238149bca48a42378dad53777b,foundational,88,t,2026-04-28 17:53:34+05:30
64,15,What is the time complexity of Graph Algorithms?,72373357bdf964912187c67a768d462680a428f2087c41e1accbb127f9c64dd4,intermediate,50,t,2026-04-24 08:41:33+05:30
65,9,How does Hash Tables work in practice?,40e5c95663c55b59338e7038e4ed7ab18cf60a5868c23a8cd9d5b0e46df11d1f,advanced,39,t,2026-03-29 21:54:25+05:30
66,8,How does Hash Tables work in practice?,40e5c95663c55b59338e7038e4ed7ab18cf60a5868c23a8cd9d5b0e46df11d1f,advanced,39,t,2026-04-10 20:13:27+05:30
67,15,Explain the key concepts of Confidence Intervals.,9ba0febf479690d7c258d5cdde7a9993047145e57af45be1f2bf41b231dbf752,foundational,81,t,2026-04-19 22:44:06+05:30
68,14,How does Indexing Strategies work in practice?,c4c24e01a56e0975dfaf62e72f3a6c0b6786c342f4df40db8a4c8ea910765cd9,advanced,5,t,2026-03-19 00:52:49+05:30
69,16,Give an example that demonstrates Query Optimization.,291a9bec1c4091b9d46d204a4cda5d4faec8d38b7443d09c9e11fe22148f0ded,intermediate,61,f,2026-04-20 18:32:00+05:30
70,11,How is TCP/IP Protocol applied in real-world systems?,0bc6ba5030e6ba068cb4a8919323b4579b4d113f9232ff7abe37ff7f0619deec,intermediate,92,f,2026-04-29 09:09:59+05:30
71,4,How does Dynamic Programming work in practice?,f6415d10fd499f427a065bea5a3efbc3c1593a8adf9e1e80577ef3ae725f8471,intermediate,21,f,2026-03-18 08:08:30+05:30
72,12,How does Binary Search Trees work in practice?,55fc19d43759fdc467249c5c643df7b7f1441e453eecedbcb2a10311732ad8ef,intermediate,54,f,2026-04-24 14:35:58+05:30
73,11,What is the time complexity of Eigenvalues?,b51c0d30be6dac7a27dbcc39f9c290f1f15f1462a4f6563ef280e2345049bbf5,intermediate,59,f,2026-03-20 15:18:20+05:30
74,6,Explain the key concepts of Confidence Intervals.,9ba0febf479690d7c258d5cdde7a9993047145e57af45be1f2bf41b231dbf752,foundational,81,f,2026-04-10 13:47:32+05:30
75,1,What are common mistakes when implementing Indexing Strategies?,6f06fc7aa3bfddf631f92bd25c3537771b32da4d969204f9ba5af6d92d5dcb42,intermediate,52,t,2026-04-09 08:24:34+05:30
76,19,Give an example that demonstrates Bayesian Inference.,65aeacb3f6407ba6168d3619e4d3c9885bb1e010c64416065e32c2343e16b3f4,foundational,11,t,2026-02-02 23:15:04+05:30
77,5,What are the advantages and disadvantages of Electromagnetic Waves?,db578b7ca5747f2246a16e88a7f4b5350dde032c52fee6d3b0e0932c85ba20cb,foundational,77,f,2026-03-27 01:53:11+05:30
78,11,How is Bayesian Inference applied in real-world systems?,f03f308b0d282909bb18cc6d46ae0bd585530b622ac45ec8da84325406100d10,advanced,58,f,2026-04-06 19:54:33+05:30
79,9,How is Sorting Algorithms applied in real-world systems?,63a5dc4f52c67513bcb02618f6672df6e2eec3a4b90ef7ba9cb1d845683a704c,intermediate,23,f,2026-04-21 23:36:07+05:30
80,10,Give an example that demonstrates Vector Spaces.,b4b3e1a2ce352707ebdc2898f96d5c9c6387f36be1013f0a897a43f574c75073,intermediate,26,t,2026-02-09 11:48:51+05:30
121,19,What is the mathematical foundation of Hash Tables?,1789d47719fe2cad71a9119927bbf593604ae550af32787cf2f79fd3a45fe5d0,advanced,1,f,2026-04-15 09:25:44+05:30
81,13,What are common mistakes when implementing Maxwell's Equations?,18e447d330972ace1dba4c245c0bea7477bd287febc7b53767e6179885e2938b,intermediate,49,f,2026-04-25 02:37:10+05:30
82,8,What is the time complexity of Newton's Laws?,123672ccab9616c2fa8426563cdee66df964c03bf7705bde12b96b804af4fcde,advanced,3,f,2026-04-18 03:35:42+05:30
83,20,Explain the key concepts of Confidence Intervals.,9ba0febf479690d7c258d5cdde7a9993047145e57af45be1f2bf41b231dbf752,foundational,81,t,2026-03-11 08:07:55+05:30
84,15,Give an example that demonstrates Vector Spaces.,b4b3e1a2ce352707ebdc2898f96d5c9c6387f36be1013f0a897a43f574c75073,intermediate,26,t,2026-04-11 13:07:49+05:30
85,2,What are common mistakes when implementing Indexing Strategies?,6f06fc7aa3bfddf631f92bd25c3537771b32da4d969204f9ba5af6d92d5dcb42,intermediate,52,f,2026-04-18 05:09:30+05:30
86,5,What is the time complexity of Matrix Decomposition?,de8d50b5fb406a62d17f98a703623851bae38de510a2871983813b4c60699d10,intermediate,12,f,2026-03-08 06:40:39+05:30
87,19,What are common mistakes when implementing Query Optimization?,7a7ab25430499794df1f3eb77e2aecd8bb08e0b5bf879beedff13ed4752bad1f,advanced,16,t,2026-02-08 00:29:27+05:30
88,15,Compare and contrast different approaches to Matrix Decomposition.,945524bf85b6eb974581b793c91b0076e46c1ae9c1920f304aa9e44aa1ba1020,advanced,87,f,2026-02-26 12:23:11+05:30
89,7,What are common mistakes when implementing Transaction Isolation?,33edca20ee0b46c590a62a0d65e2dfb92e76c4eea1ea38157cd91ab761767b89,advanced,25,f,2026-04-15 23:27:53+05:30
90,9,Compare and contrast different approaches to Neural Networks.,efe65b2970e001592df1e76341e2e21d378875d3ed0085de4a91368ba3f7eab0,advanced,37,f,2026-03-30 18:59:01+05:30
91,14,Compare and contrast different approaches to Sorting Algorithms.,e5a97461fa61f826a4b87586ebf8ea94361894808e894d3c45ca86d727c3154e,foundational,27,f,2026-04-29 18:44:53+05:30
92,10,How is Sorting Algorithms applied in real-world systems?,63a5dc4f52c67513bcb02618f6672df6e2eec3a4b90ef7ba9cb1d845683a704c,foundational,94,f,2026-03-07 09:26:16+05:30
93,14,Explain the key concepts of Conservation of Energy.,705835a5ea9c5a3fb66df31e9bda43f248f4bd0d02336cfe834fec2387d9c712,foundational,19,t,2026-04-26 06:02:33+05:30
94,8,What are the advantages and disadvantages of Database Normalization?,4a5aafcbe21b1e8de9a1ab93d8e2495d80d3d1ea341c1fb63cd7b3c2083a87ab,intermediate,80,f,2025-12-15 16:04:24+05:30
95,19,What is the mathematical foundation of Indexing Strategies?,e226649c1e30202dafa57546119dff57361ec2238149bca48a42378dad53777b,foundational,88,f,2026-04-20 00:49:04+05:30
96,16,How is Dynamic Programming applied in real-world systems?,86f445c01e16c5f2ee183f938be7352fb1b88653b696a793799fa7fe9b071615,advanced,18,f,2026-04-28 11:16:09+05:30
97,13,What is the mathematical foundation of Indexing Strategies?,e226649c1e30202dafa57546119dff57361ec2238149bca48a42378dad53777b,foundational,88,t,2026-04-23 08:30:21+05:30
98,14,How does Transaction Isolation work in practice?,3f66bda634a7810f24a618a2c6eaa97f0b020ea07faa4b7e9f30ca22efd42bd8,foundational,95,f,2025-11-22 04:53:26+05:30
99,18,Explain the key concepts of Maxwell's Equations.,3c13691aa7dc1a4c62a5b633b27da84dabd468ba9ee2ae4bcccb756810cba18d,intermediate,8,t,2026-04-18 03:38:03+05:30
100,16,What is the mathematical foundation of Confidence Intervals?,b00a96a38cfadd1a5114a59b52d275137df2066932d03841698b6f4f5f38b923,intermediate,46,f,2026-04-28 02:05:46+05:30
101,20,Give an example that demonstrates Database Normalization.,386808a3a57771e930b7c0f02cee2b381119391c1a4b8eef5052b7a5a32f4934,foundational,91,f,2025-12-18 13:53:11+05:30
102,9,How does Memory Management work in practice?,8ce474d8baf9847b1cf695d451ed3eae2ca79c59f41b8f81ad177797f355e722,foundational,65,f,2026-01-29 10:10:09+05:30
103,13,Give an example that demonstrates Graph Algorithms.,faea215d2dc5e7143c9b168b80b260bddb22b4d21f6509947e794fa29765dcfb,intermediate,86,f,2026-04-26 02:00:01+05:30
104,18,How is Binary Search Trees applied in real-world systems?,4f4c135446441c7e75ded37a22df5eb8885e2554daa800906a74154f2944a48a,intermediate,6,f,2026-02-09 12:31:45+05:30
105,17,Compare and contrast different approaches to Bayesian Inference.,b4e4ead91b8decca3b78daf40b74854afa7fa8e47e8d8ea2502cb3fad4834821,intermediate,64,f,2026-04-19 22:10:57+05:30
106,5,What is the time complexity of Matrix Decomposition?,de8d50b5fb406a62d17f98a703623851bae38de510a2871983813b4c60699d10,intermediate,12,t,2026-03-31 06:25:12+05:30
107,5,Compare and contrast different approaches to Linear Regression.,180d3807bd2f840e5570311032f403c09037db4ff67945982020c68e70455a9e,foundational,34,t,2026-04-18 04:25:10+05:30
108,5,Compare and contrast different approaches to Bayesian Inference.,b4e4ead91b8decca3b78daf40b74854afa7fa8e47e8d8ea2502cb3fad4834821,intermediate,64,f,2026-04-16 06:53:56+05:30
109,12,What are the advantages and disadvantages of Gauss's Law?,71cb7241d7bf24882863a5c3fe9381d50c118fbfd7c86c1daf90b8b7c548f50c,foundational,56,t,2026-04-18 22:07:16+05:30
110,20,How is Gradient Descent applied in real-world systems?,227417da32fb2498821029991f3cb13526edefedce7beab724d23d48d4964aca,intermediate,98,f,2026-03-31 15:01:51+05:30
111,14,What is the time complexity of Vector Spaces?,5517399b906e285598a702e9caca398b1791acf7ba61afcce8f3f1cf7cfaec74,intermediate,22,t,2026-04-29 18:39:26+05:30
112,5,What are the advantages and disadvantages of Dynamic Programming?,b4f3b49252702434f85c455b70069c48994bc0586e8ec677ace51c0d64c76ff4,foundational,72,f,2026-03-13 05:29:01+05:30
113,15,Give an example that demonstrates Conservation of Energy.,945ea435fdc5db89d9ddd2cf2abb6678d2d0a04107b52632ed83518739858b51,advanced,7,t,2026-02-26 09:03:41+05:30
114,6,How does Indexing Strategies work in practice?,c4c24e01a56e0975dfaf62e72f3a6c0b6786c342f4df40db8a4c8ea910765cd9,advanced,5,f,2026-03-22 20:45:08+05:30
115,15,What are the advantages and disadvantages of Gauss's Law?,71cb7241d7bf24882863a5c3fe9381d50c118fbfd7c86c1daf90b8b7c548f50c,foundational,56,t,2026-04-20 14:20:29+05:30
116,16,How is Binary Search Trees applied in real-world systems?,4f4c135446441c7e75ded37a22df5eb8885e2554daa800906a74154f2944a48a,intermediate,6,f,2026-04-29 00:35:00+05:30
117,18,Describe the relationship between Dynamic Programming and related concepts.,f9a5e1c31a1dc7e2bcf4ad1ac7e475e7b4f45598e33cc57e1fc9f339b2c344bd,foundational,63,f,2026-04-02 07:10:38+05:30
118,5,What are common mistakes when implementing Query Optimization?,7a7ab25430499794df1f3eb77e2aecd8bb08e0b5bf879beedff13ed4752bad1f,advanced,16,t,2025-12-14 20:30:23+05:30
119,10,Compare and contrast different approaches to Binary Search Trees.,bb57d4466bcfe4d4d77a9ab58058cfcfc9e7ee6e9809d854b38472a958976e76,foundational,24,f,2026-04-24 09:28:56+05:30
120,9,What are the advantages and disadvantages of Sorting Algorithms?,5aca75adc649e1cf5a75c984c8143e7088c6e381ce75b583cf33cc07726cd03a,foundational,73,f,2026-04-06 23:47:09+05:30
122,14,Give an example that demonstrates Electromagnetic Waves.,e43ca9c991bdedb4be65f832603c8ed6892d3e578bfca732e7cc22a1849ab8e7,advanced,10,t,2026-04-25 04:47:07+05:30
123,4,Give an example that demonstrates Neural Networks.,c250335cf6616d655c29e756d640aec66985f887dac1fea6cf3b56676162f777,advanced,43,t,2026-03-24 08:00:55+05:30
124,4,Describe the relationship between Network Security and related concepts.,120612cd2a4bc5328c2794e25b808461e3fdca2a9d6d2be4b2af6e971b8c66f4,foundational,51,f,2026-04-28 01:40:04+05:30
125,4,What are common mistakes when implementing Graph Algorithms?,b2d294da96f0e3bbabd5e7f5b8931fc8f1b02e5a6382e3b4fab7212438971c48,intermediate,42,t,2026-01-19 09:21:58+05:30
126,16,What is the time complexity of Eigenvalues?,b51c0d30be6dac7a27dbcc39f9c290f1f15f1462a4f6563ef280e2345049bbf5,intermediate,59,f,2025-12-26 14:56:37+05:30
127,1,Give an example that demonstrates Neural Networks.,c250335cf6616d655c29e756d640aec66985f887dac1fea6cf3b56676162f777,advanced,43,f,2026-03-21 10:09:50+05:30
128,15,What are common mistakes when implementing Graph Algorithms?,b2d294da96f0e3bbabd5e7f5b8931fc8f1b02e5a6382e3b4fab7212438971c48,intermediate,42,f,2026-04-30 05:01:43+05:30
129,19,Give an example that demonstrates Memory Management.,8be6fac0e4c9ac9ecf2bd62a16f711ef6eca72fd17fd330862ccf97ff3dbfbd7,intermediate,17,t,2026-02-07 14:39:01+05:30
130,10,What are common mistakes when implementing Graph Algorithms?,b2d294da96f0e3bbabd5e7f5b8931fc8f1b02e5a6382e3b4fab7212438971c48,intermediate,42,f,2026-04-02 02:45:55+05:30
131,18,Compare and contrast different approaches to Maxwell's Equations.,b278b5245ff98ec770d9fb0d698ee4a99db24a241687f3c2085a539ea0141b5e,advanced,78,f,2026-01-28 19:36:37+05:30
132,6,Describe the relationship between Process Scheduling and related concepts.,dd46f975e107e8f19aa4c5d8f06bd3170ecc5f399fe79f798246dbf1692c8514,foundational,31,f,2026-04-14 20:51:30+05:30
133,3,What is the time complexity of Newton's Laws?,123672ccab9616c2fa8426563cdee66df964c03bf7705bde12b96b804af4fcde,advanced,3,f,2025-12-19 17:22:06+05:30
134,13,Compare and contrast different approaches to Neural Networks.,efe65b2970e001592df1e76341e2e21d378875d3ed0085de4a91368ba3f7eab0,advanced,37,f,2026-04-27 23:37:47+05:30
135,5,What are common mistakes when implementing Query Optimization?,7a7ab25430499794df1f3eb77e2aecd8bb08e0b5bf879beedff13ed4752bad1f,advanced,16,t,2026-03-27 03:56:16+05:30
136,10,What is the mathematical foundation of Indexing Strategies?,e226649c1e30202dafa57546119dff57361ec2238149bca48a42378dad53777b,foundational,88,f,2026-04-23 01:57:44+05:30
137,4,Explain the key concepts of Matrix Decomposition.,a6511fa705c8d74e0d80d882834f8bef2f7b9204a797ea065fead59fe60ef58f,foundational,48,f,2026-03-12 15:08:43+05:30
138,13,Give an example that demonstrates Query Optimization.,291a9bec1c4091b9d46d204a4cda5d4faec8d38b7443d09c9e11fe22148f0ded,intermediate,61,t,2026-03-09 19:24:22+05:30
139,3,Describe the relationship between Indexing Strategies and related concepts.,2fc145d8be765559bba16711b5b0a620b1f1992ac0fbea47b6f7e22cb6597269,advanced,97,f,2026-03-22 09:28:48+05:30
140,6,What are the advantages and disadvantages of Gauss's Law?,71cb7241d7bf24882863a5c3fe9381d50c118fbfd7c86c1daf90b8b7c548f50c,foundational,56,f,2026-02-05 21:16:36+05:30
141,17,What is the mathematical foundation of Sorting Algorithms?,d3d53740b67f2ffb7592309cc9faab86d6e1e8ecc8ab8763a1d6d10503e6b558,intermediate,44,f,2026-03-03 08:07:10+05:30
142,5,Compare and contrast different approaches to Bayesian Inference.,b4e4ead91b8decca3b78daf40b74854afa7fa8e47e8d8ea2502cb3fad4834821,intermediate,64,f,2026-03-31 10:57:45+05:30
143,3,How is Gauss's Law applied in real-world systems?,7e6d12a71a7980c6eb55cda9020fef9b4bac86a69201a52b9a7786f7d1bd1613,intermediate,38,f,2026-02-02 06:38:51+05:30
144,16,How does Hash Tables work in practice?,40e5c95663c55b59338e7038e4ed7ab18cf60a5868c23a8cd9d5b0e46df11d1f,advanced,39,t,2025-11-27 03:56:58+05:30
145,10,What are common mistakes when implementing Database Normalization?,2547e099d93239f6b4c0c248e9981f130fb64bc8452a62f57044153309b01ed8,advanced,32,f,2026-02-02 00:56:31+05:30
146,2,How does Process Scheduling work in practice?,9668f09d77db53de4da71d2415e865b96c7c6b7b752d7ca14c14fb86cf4f4546,advanced,71,t,2026-03-16 22:37:42+05:30
147,4,How is Newton's Laws applied in real-world systems?,72ee05f74016d303731e4856c792b9c66efa775c4671809b380dffe5ae855965,intermediate,66,f,2025-12-04 00:05:24+05:30
148,19,How does Memory Management work in practice?,8ce474d8baf9847b1cf695d451ed3eae2ca79c59f41b8f81ad177797f355e722,intermediate,33,f,2026-04-28 08:05:15+05:30
149,17,What is the time complexity of Newton's Laws?,123672ccab9616c2fa8426563cdee66df964c03bf7705bde12b96b804af4fcde,advanced,3,t,2026-03-08 01:28:52+05:30
150,6,Compare and contrast different approaches to Binary Search Trees.,bb57d4466bcfe4d4d77a9ab58058cfcfc9e7ee6e9809d854b38472a958976e76,foundational,24,f,2026-04-07 22:54:47+05:30
